dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN5106,K. C. E. SOCIETYS COLLEGE OF ENGINEERING AND INFORMATION TEC,3210,Excelsior Education Society's K.C. College of Engineering an,0.5,YES
EN5108,SAMAJ'S KARMAVEER ADV.BABAURAO GANPATRAO THAKARE COLLEGE OF,5108,Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpat,0.55,YES
EN5109,"SANDIP FOUNDATION'S, SANDIP INSTITUTE OF TECHNOLOGY AND RESE",5109,"Sandip Foundation, Sandip Institute of Technology and Resear",0.67,
EN5121,"K. K. WAGH INSTITUTE OF ENGINEERING EDUCATION AND RESEARCH, ",5121,"K. K. Wagh Institute of Engineering Education and Research, ",1.0,
EN5124,JAGADAMBA EDUCATION SOC. NASHIK'S S.N.D. COLLEGE OF ENGINEER,5124,Jagadamba Education Soc. Nashik's S.N.D. College of Engineer,0.89,
EN5125,"VISVESVARAYA INSTITUTE OF TECHNOLOGY,AT.POST-CHINCHOLI, TAL",3353,Dilkap Research Institute Of Engineering and Management Stud,0.6,
EN5139,"SINNAR, DIST-NASHIK PRAVARA RURAL ENGINEERING COLLEGE",5125,Pravara Rural Education Society's Sir Visvesvaraya Institute,0.4,YES
EN5160,SANJIVANI RURAL EDUCATION SOCIETY'S SANJIVANI COLLEGE OF ENG,5160,Sanjivani Rural Education Society's Sanjivani College of Eng,0.83,
EN5161,"PADMASHRI DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING, ",5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",0.83,
EN5162,"AMRUTVAHINI COLLEGE OF ENGINEERING, SANGAMNER",5162,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini Col,1.0,
EN5164,"P.S.G.V.P. MANDAL'S D.N. PATEL COLLEGE OF ENGINEERING, SHAHA",5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shaha",1.0,
EN5168,"T.M.E. SOCIETY'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR",5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",1.0,
EN5169,"NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF ENGINEERING, ",5169,"Nagaon Education Society's Gangamai College of Engineering, ",0.88,
EN5170,HINDI SEVA MANDAL'S SHRI SANT GADGEBABA COLLEGE OF ENGINEERI,5170,Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineeri,0.88,
EN5171,"GODAVARI FOUNDATION'S GODAVARI COLLEGE OF ENGINEERING, JALGA",5171,"Godavari Foundation's Godavari College Of Engineering, Jalga",1.0,
EN5172,"R. C. PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",5172,"R. C. Patel Institute of Technology, Shirpur",1.0,
